sub_narrative_id,sub_narrative,narrative_id,narrative,meta_narrative_id,meta_narrative,sub_narrative_source
1,Постачання зброї в Україну затягує війну,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
2,Європейці не хочуть поставляти Україні зброю,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
3,Західна зброя не допоможе Україні,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
4,"Україна продає зброю, яку їй надають західні партнери",1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
5,Росія легко знищує західну зброю в Україні,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
6,Постачання уранових боєприпасів небезпечне,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
7,Постачання зброї робить Захід винним у жертвах,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
8,Зброя від Заходу не потрапляє на фронт,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
9,"Захід постачає зброю в Україну, щоб заробити",1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
10,Війна в Україні демонструє перевагу російської зброї,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
11,В Україну постачають неякісну зброю,1,"Наратив щодо озброєння, яке надають Україні країни Заходу",1,Дискредитація ЕС та заходу,Vox
12,Країни ЄС хочуть поділити Україну,2,Союзники хочуть поділити Україну,2,Підрив віри в перемогу України,Vox
13,Польща планує окупувати частину України,2,Союзники хочуть поділити Україну,2,Підрив віри в перемогу України,Vox
14,Чорні трансплантологи працюють на передовій,3,Чорна трансплантологія в Україні,3,Конспірологічна дискредитація України,Vox
15,Українське законодавство не забороняє працювати чорним трансплантологам,3,Чорна трансплантологія в Україні,3,Конспірологічна дискредитація України,Vox
16,Дітей з України продають на органи,3,Чорна трансплантологія в Україні,3,Конспірологічна дискредитація України,Vox
17,В Україні працюють чорні трансплантологи з інших країн,3,Чорна трансплантологія в Україні,3,Конспірологічна дискредитація України,Vox
18,Україна торгує органами своїх військових,3,Чорна трансплантологія в Україні,3,Конспірологічна дискредитація України,Vox
19,В Україні воюють польські найманці,4,Наратив щодо іноземних найманців,4,Захід використовує Україну у своїх цілях,Vox
20,На боці України воюють іноземні найманці,4,Наратив щодо іноземних найманців,4,Захід використовує Україну у своїх цілях,Vox
21,Іноземні найманці викривають критичну ситуацію в ЗСУ,4,Наратив щодо іноземних найманців,4,Захід використовує Україну у своїх цілях,Vox
22,Іноземні найманці вбивають цивільних в Україні,4,Наратив щодо іноземних найманців,4,Захід використовує Україну у своїх цілях,Vox
23,Україна набирає іноземних найманців через брак солдатів,4,Наратив щодо іноземних найманців,4,Захід використовує Україну у своїх цілях,Vox
24,Волонтери отримують прибуток від іноземної гуманітарної допомоги,5,Наратив щодо гуманітарної допомоги Україні,5,Гуманітарні наративи про Україну,Vox
25,"Лікарі перепродують медичну гуманітарну допомогу, надіслану в Україну",5,Наратив щодо гуманітарної допомоги Україні,5,Гуманітарні наративи про Україну,Vox
26,"Гуманітарну допомогу надають військовим, а не цивільним",5,Наратив щодо гуманітарної допомоги Україні,5,Гуманітарні наративи про Україну,Vox
27,Гуманітарну допомогу продають у магазинах,5,Наратив щодо гуманітарної допомоги Україні,5,Гуманітарні наративи про Україну,Vox
28,"Гуманітарну допомогу розкрадають політики, а прості люди не отримують нічого",5,Наратив щодо гуманітарної допомоги Україні,5,Гуманітарні наративи про Україну,Vox
29,Російськомовні цивільні зазнають дискримінації при розподілі гуманітарної допомоги,5,Наратив щодо гуманітарної допомоги Україні,5,Гуманітарні наративи про Україну,Vox
30,На українських біженців у Європі чекає небезпека,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
31,Європа втомилася від біженців з України,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
32,"Уряди піклуються про українських біженців більше, ніж про власних громадян",6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
33,Інші мігранти страждають через біженців з України,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
34,Справжні біженці із зони бойових дій поїхали до Росії,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
35,Біженці є тягарем для економіки,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
36,Біженців використовують для шантажу європейських країн,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
37,Біженці з України фактично є економічними мігрантами,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
38,Біженці не хочуть шукати роботу і працювати,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
39,Біженці з України приїхали скористатись медичними послугами,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
40,Біженці порушують соціальні норми та погано поводяться,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
41,"Біженці, які приїхали до Європи, фактично не постраждали від війни",6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
42,Українські біженці агресивно налаштовані до поляків,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
43,Українські біженці вчиняють кримінальні злочини в країнах перебування,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
44,Українські біженці створюють проблеми для суспільства,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
45,Українські біженці поширюють корупцію,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
46,Українські біженці поширюють хвороби в Європі,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
47,Українські біженці поширюють нацизм,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
48,Німеччина депортує українських біженців на запит української влади,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
49,Українських біженців у Європі мобілізують,6,Наратив щодо українських біженців,5,Гуманітарні наративи про Україну,Vox
50,Майже всіх жителів Києва евакуюватимуть через гуманітарну кризу,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
51,Гуманітарна ситуація на деокупованих територіях не покращилася,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
52,Російські удари по енергетичній інфраструктурі призведуть до заворушень всередині України,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
53,У більшій частині України гуманітарна ситуація катастрофічна,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
54,Відповідальність за гуманітарну кризу в Україні несе Захід,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
55,Експорт українського зерна призведе до продовольчої кризи,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
56,Українські провокації призведуть до гуманітарної кризи,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
57,Епідемії в Україні починаються через недбалість влади,7,Гуманітарна криза в Україні,5,Гуманітарні наративи про Україну,Vox
58,Імпорт продовольства шкодить сільському господарству України,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
59,Антиросійські санкції посилюють дефіцит продовольства у світі,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
60,Експорт українського зерна вигідний лише розвиненим країнам,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
61,Росія не блокувала експорт українського зерна,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
62,Росія не завдавала ударів по цивільних цілях в Одеському порту,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
63,Глобальна нестача продовольства – це міф,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
64,Світовий дефіцит продовольства спричинений Заходом,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
65,Україна створила перешкоди для експорту зерна,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
66,Україна знищує зерносховища та жнивні поля,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
67,Україна замінувала Чорне море і таким чином заблокувала експорт зерна,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
68,Україна використала морський гуманітарний коридор для нападу на Росію,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
69,Україна використовує потужності для переробки та зберігання врожаю у військових цілях,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
70,Україна використовує глобальний голод як зброю,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
71,Експорт українського зерна призведе до дефіциту продовольства всередині країни,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
72,Українське зерно забруднене,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
73,Cанкції на російську агропродукцію потрібно скасувати,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
74,Україна використовує зерновий коридор для експорту нелегальних наркотиків і нафти,8,Наратив про зерно та продовольство,5,Гуманітарні наративи про Україну,Vox
75,Референдум в Криму в 2014 році був законним,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
76,Крим у складі України – подарунок Хрущова,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
77,Під час холодної війни США використовували українських нацистів проти СРСР,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
78,Боротьба між Українською Народною Республікою (УНР) і УРСР у 1917-1921 роках була громадянською війною,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
79,Голодомор не був геноцидом,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
80,Росія створила Україну,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
81,Степан Бандера був масовим убивцею і нацистом,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
82,Бандерівці займалися канібалізмом щодо своїх жертв,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
83,Основна відповідальність за вторгнення до Чехословаччини в 1968 році лежить на українській владі,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
84,У 2014 році жителі Донецької та Луганської областей проголосили незалежність і відокремилися від Києва,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
85,Революція Гідності була державним переворотом,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
86,Громадянська війна між Україною та Донбасом триває з 2014 року,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
87,Україна розвивалася як штучна держава,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
88,"Україна давно поділена на різних людей, які ненавидять один одного",9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
89,Український націоналізм ґрунтується виключно на неприйнятті інших націй,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
90,Українські націоналісти несуть відповідальність за Волинську трагедію,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
91,У 2014 році в Одесі українські націоналісти вбили мирних жителів,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
92,Українські націоналісти були фашистами та колабораціоністами нацистів,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
93,Історичною батьківщиною для росіян є українські землі,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
94,"Українські території належать іншим державам: Угорщині, Польщі, Румунії та Росії",9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
95,Українці та росіяни – братні народи чи навіть один народ,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
96,"Українці не змогли створити ефективну державу, тому потрапили в залежність від інших країн",9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
97,Українці не мали обмежень у політичних правах в СРСР,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
98,Помаранчева революція 2004 року посилила контроль Заходу над Україною та розділила суспільство,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
99,Сто років тому української мови не існувало,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
100,Україна переписує історію,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
101,Українські націоналісти вбили мирних жителів Одеси в 2014 році,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
102,14-та гренадерська дивізія Ваффен-СС причетна до військових злочинів,9,Наратив щодо історичних подій,6,Наратив щодо історичних подій,Vox
103,Є докази витоку з американських лабораторій в Україні,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
104,На дослідження в біолабораторіях США в Україні виділено 88 мільярдів доларів,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
105,Нетипові захворювання в українців викликані діяльністю біолабораторій США,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
106,"Біологічна зброя, створена в лабораторіях США в Україні, спрямована проти конкретних етнічних груп",10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
107,"Біологічна зброя, що передається комахами та кажанами, була розроблена в біолабораторіях США",10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
108,Німеччина проводила в Україні військову біологічну діяльність,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
109,Київ має намір оснастити безпілотні літальні апарати біологічною зброєю,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
110,Сім'я Байденів займалася військовими біологічними дослідженнями в Україні,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
111,Демократична партія займалася військовими біологічними дослідженнями в Україні,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
112,СБУ керувала нарколабораторіями в Росії,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
113,Американські біолабораторії провели досліди на українській сільськогосподарській продукції,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
114,США проводили експерименти над українцями,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
115,США провели в Україні експерименти над незахищеними верствами населення,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
116,США побудували або профінансували 46 біологічних лабораторій в Україні,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
117,Після викриття США переміщують об’єкти з виробництва біологічної зброї з України,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
118,Лабораторії США в Україні розробляли біологічну зброю,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
119,Лабораторії США в Україні працювали над контрольованим поширенням інфекційних захворювань,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
120,США витратили 32 мільйони доларів на військові біологічні дослідження в Україні,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
121,США використовували українське населення як піддослідних кроликів у своїх експериментах,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
122,Україна свідомо заразила населення Донбасу,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
123,Україна кинулася знищувати небезпечні збудники після початку російського вторгнення,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
124,Українські військові приймають спеціальні військові наркотики,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
125,Недозволені препарати тестували на українських військових,10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
126,"Вікторія Нуланд визнала, що в Україні є біолабораторії США",10,Військово-біологічні лабораторії в Україні та нарколабораторії,3,Конспірологічна дискредитація України,Vox
127,"Якби Росія не почала війну, на неї б напали на її ж території",11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
128,У плани Москви не входить окупація територій України,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
129,"Росія змушена окупувати всю південну Україну, щоб убезпечити Придністров'я",11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
130,Росія здійснила вторгнення у повній відповідності до міжнародного права,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
131,Росія повинна покласти край однополярному світовому порядку,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
132,"Росія відновила історичну справедливість, окупувавши українські території",11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
133,"Росія була змушена вступити у війну, щоб забезпечити своє існування",11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
134,Альянс Білорусі та Росії виник через провокації України та Заходу,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
135,Цілі вторгнення – денацифікація та демілітаризація України,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
136,Країни НАТО нарощували військову присутність в Україні,11,Дії України та Заходу змусили Росію розпочати війну,7,Україна/Захід винні — Росія захищається,Vox
