Date,Event_eng,Event_ukr
2024-12-19,The EU has agreed on a €90 billion loan programme for Ukraine (2026–2027).,ЄС погодив кредитну програму €90 млрд для України (2026–2027).
2024-12-22,Visit of Slovak Prime Minister Robert Fico to Moscow and meeting with Putin; start of mass protests in Slovakia against pro-Russian.,"Візит прем’єр-міністра Словаччини Роберта Фіцо до Москви та зустріч із Путіним, початок масових протестів у Словаччині проти проросійської"
2025-01-10,Large-scale demonstrations in Slovakia in support of Ukraine and against rapprochement with Russia.,Масштабні демонстрації у Словаччині на підтримку України та проти зближення з Росією.
2025-01-24,A new wave of protests in Slovakia following government statements about an ‘attempted coup’,Нова хвиля протестів у Словаччині після заяв уряду про «спробу перевороту».
2025-02-28,Meeting between the President of Ukraine and the President of the United States at the White House on the strategy for ending the war,Зустріч президента України з президентом США у Білому домі щодо стратегії завершення війни.
2025-03-02,London Summit on Ukraine,Лондонський саміт щодо України
2025-03-21,The German Bundestag has approved a new military aid package for Ukraine (≈ €3 billion),Бундестаг Німеччини схвалив новий пакет військової допомоги Україні (≈ €3 млрд).
2025-06-13,Iran's massive missile strike on Israel,масований ракетний удар Ірану по Ізраїлю (понад 150 ракет і 100 дронів).
2025-06-22,US air strikes on Iranian nuclear facilities,авіаудари США по іранських ядерних об’єктах (ескалація конфлікту).
2025-06-23,Iran attacks US base Al-Udeid in Qatar,Іран атакує американську базу Al-Udeid у Катарі.
2025-07-10,"At the Ukraine Recovery Conference 2025, an EU investment package of €2.3 billion was announced for the reconstruction of Ukraine",на Ukraine Recovery Conference 2025 оголошено інвестиційний пакет ЄС €2.3 млрд для відбудови України.
2025-07-18,The EU adopts the 18th package of sanctions against Russia,ЄС ухвалює 18-й пакет санкцій проти Росії.
2025-08-25,The EU has announced an additional €4 billion in aid to Ukraine,ЄС оголосив додаткові €4 млрд допомоги Україні.
2025-10-23,The EU adopts the 19th package of sanctions against Russia,ЄС ухвалює 19-й пакет санкцій проти Росії.
2025-10-29,The updated EU-Ukraine trade agreement enters into force.,оновлена угода про торгівлю ЄС–Україна набуває чинності.
2025-12-15,European leaders have presented a proposal for a peace plan that includes an international military mission in Ukraine,"європейські лідери представили пропозицію мирного плану, що включає міжнародну військову місію в Україні."
2026-01-06,"Signing of a declaration of intent to establish a multinational force for Ukraine's security (Ukraine, France, Great Britain)","підписання листа про наміри створення багатонаціональної сили для безпеки України (Україна, Франція, Велика Британія)."
2026-01-14,The European Commission proposes €90 billion in aid to Ukraine for 2026–2027,Єврокомісія пропонує €90 млрд допомоги Україні на 2026–2027 роки.
2026-01-23,The first round of US-Ukraine-Russia negotiations in Abu Dhabi on ending the war,перший раунд переговорів США–Україна–Росія в Абу-Дабі щодо завершення війни.
2026-02-04,The second round of US–Ukraine–Russia negotiations in Abu Dhabi,другий раунд переговорів США–Україна–Росія в Абу-Дабі.
2026-02-15,Munich Security Conference 2026,Мюнхенська безпекова конференція 2026.
2026-02-23,Hungary is blocking a new package of EU sanctions against Russia and financial aid to Ukraine,Угорщина блокує новий пакет санкцій ЄС проти Росії та фінансову допомогу Україні.
